epoch,lr,loss,iou,val_loss,val_iou
0.0,0.0001,0.7267267301770076,0.5479854902924229,0.8808413714897342,1.6384879266666794e-11
1.0,0.0001,0.48764215327479354,0.8211133447410416,0.9049752921592898,1.6384879266666794e-11
2.0,0.0001,0.387833104908832,0.8667883436497097,1.001335181841036,1.6384879266666794e-11
3.0,0.0001,0.3362620048727726,0.8918549884478689,1.066077892373248,0.08444411939182506
4.0,0.0001,0.3083182006525847,0.8982705889424579,0.2789948350045739,0.8703388050161427
5.0,0.0001,0.287483430530396,0.9138606160574911,0.2391891911989305,0.9184523059623072
6.0,0.0001,0.2772272609494215,0.9184953539251237,0.24765767193422084,0.9137107403951545
7.0,0.0001,0.2650941270260723,0.9257158544125866,0.21997532684628557,0.9485751246847519
8.0,0.0001,0.25563719758958175,0.9321657169583295,0.22997964809580548,0.9310542396670547
9.0,0.0001,0.2570720261042835,0.9262361461095,0.20934799313545227,0.941201113521874
10.0,0.0001,0.2610450416254851,0.9138849745866642,0.21299851304147302,0.9330948904022894
11.0,0.0001,0.2500019186844855,0.9237486695950333,0.20589810246374549,0.9557411796945458
12.0,0.0001,0.24632898402725992,0.9258204464631833,0.21775183699479916,0.9434516929023086
13.0,0.0001,0.23433373950741773,0.9350606750272356,0.2228545044980398,0.9440798771874783
14.0,0.0001,0.22850744965617642,0.9383146342848535,0.21276209703305873,0.9620894717014046
15.0,0.0001,0.2157531376082473,0.9503854369331235,0.21112544216760776,0.958619341226402
16.0,0.0001,0.21371962779138717,0.9491587810058119,0.20907323680272916,0.9568992941450423
17.0,0.0001,0.20975014238269782,0.9499227487051476,0.19762773266652736,0.9567701889833206
18.0,0.0001,0.21682628934368767,0.9391404145003208,0.22156767038310446,0.9298293984553715
19.0,0.0001,0.21700654951341314,0.9338010312646743,0.24962227518965557,0.8995425442124313
20.0,0.0001,0.20756763530655142,0.943014615851266,0.184916137195215,0.9559184970132133
21.0,0.0001,0.2062068434397867,0.9401968334797909,0.16041658455278815,0.9596653987815297
22.0,0.0001,0.2044016062482003,0.9403385557412766,0.1910924329990294,0.9623066972615181
23.0,0.0001,0.1926958788574839,0.9506474712737241,0.19129036803071092,0.9605275023023162
24.0,0.0001,0.1900500060956171,0.950345452242521,0.18804168701171875,0.9618212432600824
25.0,0.0001,0.18790506000167753,0.9504230543441815,0.1773714030661234,0.9625110282435243
26.0,0.0001,0.18661254690103005,0.9490267969012975,0.1680586189031601,0.9587475935248033
27.0,0.0001,0.18782991536555846,0.9441904809072871,0.16524557296822712,0.9539519455185321
28.0,0.0001,0.18419957764309608,0.9465866530775597,0.16569612157054064,0.949277619709662
29.0,0.0001,0.17874018692531468,0.9490225737982138,0.16231902452503763,0.9597483080239773
30.0,0.0001,0.1761062730309422,0.9509477712470698,0.16450729493687793,0.9559190659921373
31.0,0.0001,0.167652527887397,0.9578224490004951,0.17249545745733308,0.9495358314911653
32.0,0.0001,0.1657723589726021,0.957184167896776,0.15491432533031557,0.9673117511521121
33.0,0.0001,0.16298662473453335,0.958253951347782,0.15098259143713044,0.96936220632716
34.0,0.0001,0.1607532989393714,0.9584850266622642,0.15565928162598028,0.9673354013920833
35.0,0.0001,0.15815458305042945,0.9589770685014165,0.15050914265760562,0.9655008467340027
36.0,0.0001,0.15724010409021671,0.9577168048274055,0.14500890563173993,0.965462012942869
37.0,0.0001,0.15393906722039533,0.9597741931292397,0.1420781027253081,0.9655510588653435
38.0,0.0001,0.1527822930022983,0.9587195954003385,0.1414344732354327,0.9649028260968296
39.0,0.0001,0.16012027777411456,0.9497179753426572,0.1392107664085016,0.9617676574145965
40.0,0.0001,0.15358157017113971,0.9537969657472268,0.12634475456505287,0.9672366009746715
41.0,0.0001,0.15001905997472306,0.9552036765373993,0.12928741407103655,0.9693200050935483
42.0,0.0001,0.14486680102128924,0.9598550648289564,0.12882597308333327,0.9702388305519344
43.0,0.0001,0.14160130927167788,0.9615159648098156,0.132209136355214,0.9702122819427217
44.0,0.0001,0.14358144386048696,0.9569925595243288,0.12016282248787763,0.9707209139441015
45.0,0.0001,0.13847302768859396,0.96196936443412,0.12940922088739348,0.9679225218134175
46.0,0.0001,0.13528306498849318,0.9634111978173153,0.14298963764818703,0.9621763177091441
47.0,0.0001,0.1357412040233612,0.9612464296945851,0.12611442586270774,0.9713748152363104
48.0,0.0001,0.13166710862352804,0.9640092921395452,0.12355410434850832,0.9706831237452843
49.0,0.0001,0.1284830433093697,0.9661254503612464,0.12263224546502276,0.9698936543633678
